id;street;city;state;country
1;Reilly Ridges;Wiegandside;Versatile hack hacking;Mayotte
2;Ofelia Grove;Ricardobury;Sports withdrawal Architect;Singapore
3;Kira Trail;Jeanetteside;end-to-end;Luxembourg
4;Kunde Land;Gradyburgh;Chips purple;Netherlands Antilles
5;Wintheiser Shoals;Daughertytown;Table invoice;Suriname
6;O'Kon Mews;Margate;the;Norway
7;Barney Harbor;Lake Tyreek;circuit Bike;Malaysia
8;Gail Tunnel;Noraville;SMTP Toys;Falkland Islands (Malvinas)
9;Amani Ford;Roseville;National initiative Loan;Svalbard & Jan Mayen Islands
10;Bartell Roads;Schillerhaven;Rustic USB Quality-focused;Mali
