id;eye_color;hair_color;weight;height
1;policy Re-engineered Assistant;withdrawal;24527;34339
2;bypassing Morocco;deliver calculate interface;98615;86871
3;Borders homogeneous Streets;Bacon Awesome Small;80305;17246
4;Baby;Ergonomic Optimization sensor;47367;5607
5;enable Palladium;Developer;44983;9748
6;compressing Auto;multimedia Spurs;45097;23741
7;mesh;Future Bike withdrawal;81774;30337
8;hierarchy Cheese;back exploit;75929;7530
9;wireless bandwidth invoice;Quality;44870;16080
10;orchid;Avon;60704;79377
