id;street;city;state;country
1;Breana Fort;North Aniyahville;Response;Portugal
2;Rosalinda Loop;Rogahnbury;Washington Georgia;American Samoa
3;Beryl Skyway;New Shaylee;maximized;Cyprus
4;Orin Crest;Blue Springs;panel;Jersey
5;Yvette Gardens;East Julia;Internal mobile;Latvia
6;Eleazar Extensions;Turcottetown;Plastic Refined;Virgin Islands, U.S.
7;Koby Rue;Lake Martinhaven;online Account;Netherlands
8;Malika Manor;North Rosalindport;Proactive Kansas;Japan
9;Conner Drive;Milpitas;Fresh;United Kingdom
10;Wilford Prairie;North Lottieburgh;Industrial;Grenada
